name,description,isActive,productInclType,product,paApplies,paType,paPercent,paBaseAmountType,paAmount,rndApplies,roundType,rndToAmount,rndIsMinus,rndPMAmount,customerInclType,customer,dateApplies,dateBegin,dateEnd,qtyApplies,qtyMin,qtyMax,isAutoApply,isTier2,dateCreated,dateLastModified
"ABC 123 Accessories, LLC 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$337.40","false","Round to nearest","$1.00","true","$0.01","Customer","ABC 123 Accessories, LLC","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"ABC 123 Accessories, LLC 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$193.00","false","Round to nearest","$1.00","true","$0.01","Customer","ABC 123 Accessories, LLC","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/21/2023"
"ABC 123 Accessories, LLC 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$259.00","false","Round to nearest","$1.00","true","$0.01","Customer","ABC 123 Accessories, LLC","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/21/2023"
"Kelli's Gift Shop Suppliers 12050",,"true","Product","12050","true","Fixed price","0%","Product Price","$126.00","false","Round to nearest","$1.00","true","$0.01","Customer","Kelli's Gift Shop Suppliers","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Price Master Corporation 01962",,"true","Product","01962","true","Fixed price","0%","Product Price","$229.00","false","Round to nearest","$1.00","true","$0.01","Customer","Price Master Corporation","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/31/2023"
"Wencar Inc. 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$312.00","false","Round to nearest","$1.00","true","$0.01","Customer","Wencar Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/07/2023"
"Wencar Inc. 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$276.00","false","Round to nearest","$1.00","true","$0.01","Customer","Wencar Inc.","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","07/07/2023"
"Wencar Inc. 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$300.00","false","Round to nearest","$1.00","true","$0.01","Customer","Wencar Inc.","false","12/31/1999","01/01/2000","false","0","0","true","false","03/15/2023","07/07/2023"
"Wencar Inc. 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$195.00","false","Round to nearest","$1.00","true","$0.01","Customer","Wencar Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/07/2023"
"Adel Wholesale 01786",,"true","Product","01786","true","Fixed price","0%","Product Price","$215.00","false","Round to nearest","$1.00","true","$0.01","Customer","Adel Wholesale","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/21/2023"
"Adel Wholesale 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$298.00","false","Round to nearest","$1.00","true","$0.01","Customer","Adel Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/21/2023"
"Adel Wholesale 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$263.00","false","Round to nearest","$1.00","true","$0.01","Customer","Adel Wholesale","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/21/2023"
"Adel Wholesale 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$309.00","false","Round to nearest","$1.00","true","$0.01","Customer","Adel Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/21/2023"
"Adel Wholesale 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$249.00","false","Round to nearest","$1.00","true","$0.01","Customer","Adel Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/21/2023"
"Adel Wholesale 11969",,"true","Product","11969","true","Fixed price","0%","Product Price","$105.12","false","Round to nearest","$1.00","true","$0.01","Customer","Adel Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/21/2023"
"Legacy Blister 11910",,"true","Product","11910","true","Fixed price","0%","Product Price","$84.72","false","Round to nearest","$1.00","true","$0.01","Customer Group","Legacy Blister","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"International Foods 01786",,"true","Product","01786","true","Fixed price","0%","Product Price","$215.00","false","Round to nearest","$1.00","true","$0.01","Customer","International Foods","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/30/2023"
"International Foods 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$290.40","false","Round to nearest","$1.00","true","$0.01","Customer","International Foods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"International Foods 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$262.60","false","Round to nearest","$1.00","true","$0.01","Customer","International Foods","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"International Foods 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$304.20","false","Round to nearest","$1.00","true","$0.01","Customer","International Foods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"International Foods 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$186.00","false","Round to nearest","$1.00","true","$0.01","Customer","International Foods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/03/2023"
"International Foods 01841",,"true","Product","01841","true","Fixed price","0%","Product Price","$247.00","false","Round to nearest","$1.00","true","$0.01","Customer","International Foods","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/03/2023"
"BTC Wholesale 01786",,"true","Product","01786","true","Fixed price","0%","Product Price","$215.00","false","Round to nearest","$1.00","true","$0.01","Customer","BTC Wholesale","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","05/22/2023"
"BTC Wholesale 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$265.00","false","Round to nearest","$1.00","true","$0.01","Customer","BTC Wholesale","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"BTC Wholesale 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$317.00","false","Round to nearest","$1.00","true","$0.01","Customer","BTC Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/08/2023"
"BTC Wholesale 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$203.38","false","Round to nearest","$1.00","true","$0.01","Customer","BTC Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"BTC Wholesale 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$310.00","false","Round to nearest","$1.00","true","$0.01","Customer","BTC Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Baton Rouge Tobacco Co 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$310.00","false","Round to nearest","$1.00","true","$0.01","Customer","Baton Rouge Tobacco Co","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/08/2023"
"Baton Rouge Tobacco Co 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$275.20","false","Round to nearest","$1.00","true","$0.01","Customer","Baton Rouge Tobacco Co","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"Baton Rouge Tobacco Co 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$317.00","false","Round to nearest","$1.00","true","$0.01","Customer","Baton Rouge Tobacco Co","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/08/2023"
"J.E.S. Wholesale 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$281.60","false","Round to nearest","$1.00","true","$0.01","Customer","J.E.S. Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"J.E.S. Wholesale 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$266.20","false","Round to nearest","$1.00","true","$0.01","Customer","J.E.S. Wholesale","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/16/2023"
"J.E.S. Wholesale 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$306.20","false","Round to nearest","$1.00","true","$0.01","Customer","J.E.S. Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"J.E.S. Wholesale 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$190.00","false","Round to nearest","$1.00","true","$0.01","Customer","J.E.S. Wholesale","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","04/28/2023"
"Martin & Snyder Co. 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$299.00","false","Round to nearest","$1.00","true","$0.01","Customer","Martin & Snyder Co.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/04/2023"
"Martin & Snyder Co. 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$265.20","false","Round to nearest","$1.00","true","$0.01","Customer","Martin & Snyder Co.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Martin & Snyder Co. 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$189.00","false","Round to nearest","$1.00","true","$0.01","Customer","Martin & Snyder Co.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/04/2023"
"Martin & Snyder Co. 11969 Pallet price",,"true","Product","11969","true","Fixed price","0%","Product Price","$99.36","false","Round to nearest","$1.00","true","$0.01","Customer","Martin & Snyder Co.","false","01/01/2000","01/01/2000","true","110","0","true","false","03/15/2023","05/23/2023"
"Martin & Snyder Co. 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$298.00","false","Round to nearest","$1.00","true","$0.01","Customer","Martin & Snyder Co.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","07/04/2023"
"Martin & Snyder Co. 15787.J",,"true","Product","15787.J","true","Fixed price","0%","Product Price","$612.00","false","Round to nearest","$1.00","true","$0.01","Customer","Martin & Snyder Co.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","03/15/2023"
"Rainbow Sales Distributing, Inc. 01832",,"true","Product","01832","true","Fixed price","0%","Product Price","$305.80","false","Round to nearest","$1.00","true","$0.01","Customer","Rainbow Sales Distributing, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Rainbow Sales Distributing, Inc. 01829",,"true","Product","01829","true","Fixed price","0%","Product Price","$259.80","false","Round to nearest","$1.00","true","$0.01","Customer","Rainbow Sales Distributing, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Rainbow Sales Distributing, Inc. 02830",,"true","Product","02830","true","Fixed price","0%","Product Price","$298.80","false","Round to nearest","$1.00","true","$0.01","Customer","Rainbow Sales Distributing, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","06/16/2023"
"Rainbow Sales Distributing, Inc. 01828",,"true","Product","01828","true","Fixed price","0%","Product Price","$189.00","false","Round to nearest","$1.00","true","$0.01","Customer","Rainbow Sales Distributing, Inc.","false","01/01/2000","01/01/2000","false","0","0","true","false","03/15/2023","05/23/2023"
"Naddaf Wholesale Inc., 01786",,"true","Product","01786","true","Fixed price","0%","Product Price","$219.00","false","Round to nearest","$1.00","true","$0.01","Customer","Naddaf Wholesale Inc.,","false","01/01/1000","01/01/3000","false","0","0","true","false","03/15/2023","06/23/2023"
